dwr_id,dau,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,Developed High Intensity,"Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Perennial Ice/Snow,Shrub/Scrub,Woody Wetlands
156_104,236,,0.87,,,0.01,,0.08,,,0.02,,,0.03,,,
156_104,237,,0.84,,,0.02,0.00,0.05,,,0.02,,,0.08,,,
156_105,235,,0.89,,,0.01,0.00,0.05,,,,,,0.05,,,
156_105,236,0.00,0.86,,0.00,0.02,0.00,0.06,,,0.01,,,0.04,,,
156_105,237,,0.80,,,0.05,0.01,0.10,,,0.01,,,0.04,,,
156_106,235,0.00,0.84,,,0.01,0.00,0.03,,,,,,0.12,,,
156_106,236,,0.93,,,0.00,0.00,0.05,,,,,,0.02,,,
156_107,235,0.00,0.91,,,0.01,0.00,0.03,,,0.00,,,0.04,,,
156_107,236,,0.91,,0.01,0.02,0.01,0.05,,,,,,,,,
156_108,235,,0.91,,,0.01,0.00,0.05,,,0.00,,,0.02,,,
156_108,236,,0.84,,,0.01,0.00,0.04,,,0.00,,,0.11,,,
156_109,235,,0.82,,,0.05,0.01,0.12,,,,,,,,,
156_109,236,0.00,0.91,,0.00,0.02,0.01,0.04,,,0.00,,,0.02,,,
156_110,236,0.01,0.73,,0.02,0.03,0.11,0.06,,,0.02,,0.02,,,,
156_111,236,0.00,0.74,,0.02,0.05,0.08,0.08,,,0.02,,0.01,,,,0.01
156_111,239,0.01,0.67,,0.00,0.03,0.02,0.06,,,0.06,,0.04,0.09,,0.00,0.02
156_112,236,0.02,0.59,,,0.08,0.03,0.05,,,0.08,,0.04,,,,0.11
156_112,239,0.01,0.90,,0.00,0.02,0.01,0.05,,,0.00,,0.00,0.00,,,0.00
156_113,239,0.00,0.91,,0.00,0.02,0.01,0.05,,,0.00,,0.00,0.01,,,
156_114,239,0.00,0.88,,,0.01,0.00,0.08,,,0.01,,0.00,0.01,,,
156_115,239,0.00,0.88,,,0.01,0.01,0.07,,,0.01,,,0.03,,,
156_116,239,0.00,0.80,,0.00,0.02,0.01,0.09,,,0.01,,0.00,0.06,,,
156_117,223,,,,,,,,,,1.00,,,,,,
156_117,239,0.00,0.83,,0.00,0.02,0.00,0.07,,,0.07,,,0.01,,0.00,
156_117,240,0.01,0.33,,,0.03,,0.04,,,0.56,,,,,0.00,0.02
156_118,223,0.00,0.00,,,,,,,,0.96,,,,,0.03,
156_118,239,0.01,0.59,,,0.01,0.00,0.09,,,0.30,,,,,,
156_118,240,0.01,0.09,,,0.02,0.01,0.05,,,0.82,,,,,,
156_118,242,0.02,0.74,,,0.03,0.01,0.05,,,0.12,,,0.03,,0.00,
156_119,223,0.00,0.09,,,0.00,,0.01,,0.00,0.85,,,,,0.04,
156_119,242,0.02,0.67,,,0.03,0.00,0.11,,,0.17,,0.00,,,0.00,
156_120,223,0.02,0.02,0.00,,0.00,,0.01,,0.00,0.81,,0.00,0.03,,0.10,0.01
156_120,242,,0.08,,,0.01,,0.06,,,0.66,,,0.05,,0.14,0.00
156_121,223,,,0.00,,,,,,0.03,0.77,,,,,0.19,
156_121,242,,,,,,,,,,0.97,,,,,0.03,
156_122,223,,,0.01,,,,0.02,,0.11,0.69,,,,,0.19,
156_123,223,,,0.02,,,,0.00,,0.33,0.44,,,,,0.20,
156_123,224,,,0.01,,,,,,0.54,0.39,,,,,0.06,
156_124,223,,,0.05,,,,,,0.53,0.12,,,,,0.30,
156_124,224,,,0.08,,,,,,0.49,0.29,,,,,0.13,
156_125,224,,,0.04,,,,,,0.29,0.35,0.00,,,,0.32,
156_126,224,0.00,,0.03,,,,0.00,,0.10,0.29,,,,,0.58,
156_127,224,,,0.08,,,,0.04,,0.20,0.07,,0.01,,,0.60,
156_128,224,0.00,,0.03,,,,0.01,,0.45,0.01,0.04,0.00,,,0.46,
156_129,224,0.04,,0.01,,,,,,0.67,0.00,0.06,,,,0.23,
156_130,224,0.01,,,,,,,,0.95,0.00,0.00,,,,0.04,
156_131,224,0.10,,,,,,,,0.78,,,,,,0.12,
156_132,224,0.33,,,,,,,,0.33,0.01,0.00,0.00,,,0.32,
156_133,224,0.79,,,,,,,,0.01,0.01,,,,,0.19,
156_133,229,0.60,,,,,,,0.00,0.18,0.01,,0.03,,,0.18,
156_134,229,0.15,,,,,,,0.00,0.59,0.03,,0.01,,,0.22,
156_135,229,0.16,,,,,,,0.00,0.65,0.02,,0.00,,,0.16,
156_136,229,0.08,,,,,,,,0.43,0.05,,,,,0.44,
156_137,229,0.17,,,,,,,,0.46,0.09,,,,,0.28,
156_138,229,0.14,,,,,,,0.00,0.63,0.01,,,,,0.21,
156_139,229,0.32,,,,,,,0.00,0.46,0.01,,0.00,,,0.20,
156_140,229,0.89,,,,,,,,,0.08,,,,,0.03,
156_140,278,0.64,,,,,,,0.00,0.11,0.04,,0.04,,,0.16,
156_141,278,0.32,,,,,,,0.00,0.46,0.02,,0.01,,,0.19,
156_142,278,0.11,,0.01,,,,,,0.53,0.02,0.01,,,,0.32,0.00
156_143,278,,,0.01,,,,,,0.35,0.00,0.01,,,,0.63,0.00
156_144,278,0.00,,,,0.00,0.00,0.02,,0.01,,0.00,,,,0.96,
156_145,278,0.52,,,,0.00,0.00,0.01,,0.00,0.01,,,,,0.46,0.00
156_146,278,0.48,,,,,,,,0.00,0.00,,,,,0.52,
156_147,278,0.29,,,,,,,,,0.00,,0.03,,,0.66,0.01
156_148,278,0.18,,,,0.02,0.00,0.01,,,0.00,,0.02,,,0.76,0.01
156_149,278,0.01,,,,,,0.00,,,,,,,,0.99,
156_150,278,0.00,,,,,,,,,,,,,,1.00,
156_151,278,0.00,,,,,,,,,,,,,,1.00,
156_151,298,,,,,,,,,,0.00,,,,,1.00,
156_152,298,,,,,,,,,,,,,,,1.00,
156_153,298,,,,,,,,,,,,,,,1.00,
156_154,298,0.00,,,,0.00,,0.01,,,,,,,,0.98,
156_155,298,,,,,,,,,,0.01,,,,,0.99,
156_156,298,,,,,,,,,,,,,,,1.00,
156_157,298,0.08,,,,,,,,,,,,,,0.92,
156_158,285,,,,,,,,,,,,,,,1.00,
156_158,298,0.02,,,,,,,,,,,,,,0.98,
156_159,285,0.00,,,,,,,,,,,,,,1.00,
156_159,298,,,,,,,,,,,,,,,1.00,
156_160,285,0.01,,,,,,,,,,,,,,0.99,
156_161,285,0.02,,,,,,,,,,,,,,0.98,
156_162,285,,,,,0.01,,0.00,,,,,,,,0.98,
156_163,285,0.00,,,,0.00,,0.02,,,,,,,,0.98,
156_164,285,0.01,,,,,,,,,,,,,,0.99,
156_165,285,0.01,,,,,,,,,,,,,,0.99,
156_166,285,0.00,,,,,,,,,,,,,,1.00,
156_167,285,0.00,,,,,,,,,,,,,,1.00,
156_168,285,,,,,,,,,,,,,,,1.00,
156_169,285,0.04,,,,,,,,,,,,,,0.96,
156_170,285,0.60,,,,0.02,0.01,0.02,,,0.00,,0.00,,,0.35,0.00
156_171,285,0.12,,,,0.04,0.02,0.02,,,0.00,,,,,0.81,
156_171,287,0.04,,,,0.06,0.01,0.00,,,,,,,,0.88,0.00
156_172,285,0.02,,,,,,,,,,,,,,0.98,
156_172,287,,,,,,,,,,,,,,,1.00,
156_173,285,,,,,,,,,,,,,,,1.00,
156_173,287,0.00,,,,,,,,,,,,,,1.00,
156_174,287,,,,,,,,,,,,,,,1.00,
156_175,287,,,,,,,,,,,,,,,1.00,
156_176,287,0.00,,,,,,,,,,,,,,1.00,
156_176,288,,,,,,,,,,,,,,,1.00,
156_177,288,,,,,,,,,,,,,,,1.00,
156_178,288,0.23,,,,,,,,,,,,,,0.77,
156_179,288,0.46,,,,,,,,,0.00,,,,,0.53,0.01
156_179,no data,0.34,,,,,,,,,,,,,,0.66,0.00
156_180,288,0.63,,,,,,,,,,,,,,0.37,
156_180,no data,0.17,0.01,,,0.00,,,,,0.00,,,,,0.83,
15_62,002,0.01,,,,,,,,0.99,0.00,,,,,0.00,
15_63,001,0.00,,,,,,,,0.96,0.02,,,,,0.03,
15_63,002,0.00,,,,,,,,1.00,,,,,,0.00,
15_63,134,,,,,,,,,1.00,,,,,,,
15_64,001,0.00,,,,,,,,0.99,0.00,,,,,0.01,
15_64,134,,,0.01,,,,,,0.81,0.02,,,,,0.16,
15_65,001,0.10,,,,,,0.02,,0.86,0.01,,,,,0.01,
15_65,134,0.45,,,,,,0.02,,0.51,0.01,,,,,0.02,
156_57,057,0.00,,,,0.05,0.00,0.20,0.00,0.29,0.06,0.09,0.01,,,0.29,0.00
156_57,no data,0.00,,,,0.00,0.00,0.00,0.05,0.00,,0.00,0.94,,,0.00,
156_58,057,,,,,0.00,,0.03,,0.40,0.08,0.17,,,,0.31,
156_59,056,0.00,0.02,0.00,,,,0.01,,0.59,0.07,0.11,,,,0.21,0.00
156_59,057,0.00,,0.00,,,,0.02,,0.55,0.09,0.07,,,,0.27,
15_66,001,0.02,,,,,,,,0.97,,,,,,0.00,
156_60,056,,,0.00,,,,0.03,,0.54,0.12,0.07,,,,0.24,
156_60,057,,,,,,,,,0.06,0.16,0.11,,,,0.67,
156_61,056,,,,,0.02,0.00,0.15,,0.46,0.06,0.04,,,,0.27,0.00
15_66,134,0.07,,0.00,,,,,,0.84,0.02,,,,,0.07,
156_62,052,,,,,,,0.00,,0.60,0.13,0.20,,,,0.06,
156_62,056,,,,,0.04,0.01,0.21,,0.14,0.25,0.07,,,,0.30,
156_63,052,,,,,,,,,0.39,0.46,0.03,,,,0.12,
156_63,056,,,,,,,0.02,,0.04,0.66,0.06,,,,0.22,
156_64,052,,,,,,,,,0.06,0.43,0.26,,,,0.25,
156_64,056,,,,,,,0.01,,0.16,0.55,0.08,,,,0.20,
156_65,053,,,,,,,,,0.26,0.08,0.13,,,,0.53,
156_65,056,,,,,,,0.02,,0.23,0.36,0.02,,,,0.37,
156_66,048,,0.27,,,,,0.05,,0.18,0.30,0.04,,,,0.17,
156_66,053,,0.00,,,,,0.03,,0.25,0.03,0.16,,,,0.53,
156_66,056,,,,,,,0.02,,0.14,0.39,0.01,,,,0.45,
156_67,048,0.01,0.76,,,0.03,0.00,0.04,0.00,0.01,0.02,0.02,0.00,0.01,,0.03,0.08
156_67,050,,0.87,,,0.12,,0.01,,,,,,,,,
156_67,053,,0.01,,,0.00,,0.03,,0.22,0.04,0.14,,,,0.56,
156_68,048,,0.61,,0.01,0.16,0.08,0.11,0.00,0.00,0.00,,,0.00,,0.01,0.02
156_68,049,,0.20,,,0.32,0.44,0.04,,,,,,,,,
156_68,050,0.00,0.79,,,0.04,0.01,0.05,,0.00,0.00,,,0.02,,0.00,0.10
156_69,049,,0.86,,,0.02,0.00,0.09,,,0.03,,,,,,
156_69,050,0.00,0.86,,,0.06,0.00,0.07,,0.00,0.00,,,0.00,,0.00,0.00
156_70,049,,0.66,,,,,0.01,,,0.00,,,0.33,,,
156_70,050,0.01,0.51,,,0.01,0.01,0.08,,,0.37,0.00,,0.01,,0.01,
156_70,054,0.01,,,,,,0.04,,,0.83,0.02,,,,0.11,
156_71,050,0.04,,,,,,0.06,,,0.87,,,,,0.03,
156_71,054,0.04,,,,,,0.00,,0.04,0.24,0.03,,,,0.65,
15_67,134,0.03,,0.00,,,,,0.00,0.84,0.01,,0.10,,,0.02,0.00
156_72,054,0.00,,0.00,,,,0.02,0.00,0.02,0.51,0.03,0.00,,,0.41,
156_73,054,0.00,,,,,,0.02,,0.02,0.19,0.03,,,,0.75,
156_74,054,0.01,,,,0.00,,0.01,,0.06,0.07,0.03,0.00,,,0.81,0.00
156_75,054,0.01,,,,0.00,,0.03,,0.02,0.28,0.04,,,,0.62,0.01
156_76,054,0.00,,,,,,0.02,0.00,0.01,0.43,0.04,,,,0.49,
156_76,064,0.01,,,,,,0.06,0.01,0.00,0.80,0.02,,,,0.10,
156_77,064,0.00,,,,,,0.02,0.00,,0.50,0.09,0.00,,,0.39,
156_78,064,,,0.00,,0.00,,0.00,,,0.37,0.08,,,,0.55,
156_79,064,,,,,,,,,,0.22,0.12,,,,0.66,
156_79,248,,,,,,,,,,0.04,0.34,,,,0.63,
156_80,064,,,,,,,0.01,,,0.24,0.14,,,,0.62,
156_80,248,,,,,,,,,0.00,0.08,0.32,,,,0.60,
156_81,064,,,,,,,,,,0.26,0.13,,,,0.61,
156_81,248,0.00,,,,,,0.01,,0.00,0.25,0.28,,,,0.45,
15_68,134,0.05,,,,,,,,0.92,0.01,,0.00,,,0.01,
156_82,248,0.01,,,,,,0.03,,,0.56,0.08,,,,0.31,
156_83,248,0.04,,,,,,0.03,,,0.79,0.00,,,,0.13,
156_84,248,0.11,,,,,,0.03,,,0.49,,,,,0.36,
156_85,248,0.17,,,,0.00,,0.03,,,0.44,,,,,0.36,
156_86,248,0.13,,,,0.00,,0.01,,,0.35,,,,,0.50,
156_86,249,0.12,,,,,,0.01,,,0.46,,,,,0.41,
156_87,249,0.07,,,,,,0.01,,,0.44,0.00,,,,0.47,
156_88,249,0.15,,,,,,0.03,,,0.48,0.00,,,,0.34,
156_89,244,0.02,,,,0.01,0.00,0.02,,,0.87,,,,,0.07,
156_89,249,0.23,,,,,,0.00,,,0.43,0.00,,,,0.33,
15_69,001,0.31,,,,,,,,0.69,0.00,,,,,,
156_90,244,0.06,0.09,,,0.02,,0.05,,,0.77,,,,,0.01,
156_91,244,0.08,0.81,,,0.04,,0.03,,,0.04,,,,,,
15_69,132,,,,,,,,,0.91,,,,,,0.09,
15_69,134,0.05,,,,,,,,0.91,0.00,,,,,0.04,
156_92,244,0.04,0.88,,,0.04,0.00,0.03,,,,,0.01,0.01,,,
156_93,244,0.01,0.92,,,0.02,0.00,0.04,,,0.00,,0.01,,,,
156_94,244,0.00,0.95,,,0.01,0.00,0.03,,,,,,,,,
156_95,244,,0.94,,,0.01,0.00,0.05,,,,,,,,,
156_96,244,,0.95,,,0.02,,0.03,,,,,,,,,
156_97,237,,0.93,,,0.02,,0.05,,,,,,,,,
156_97,244,,0.94,,,0.01,,0.05,,,,,,,,,
156_98,237,0.00,0.86,,0.01,0.05,0.02,0.03,,,,,0.00,0.04,,,
156_98,244,,0.89,,,0.03,0.01,0.03,,,,,,0.05,,,
156_99,237,0.01,0.80,,0.01,0.03,0.01,0.03,,,0.01,,0.00,0.10,,,
15_70,001,0.12,,,,,,,,0.86,0.00,,,,,0.02,
15_70,132,,,,,,,,,0.99,,,,,,0.01,
15_71,001,,,,,,,,,0.91,0.03,,,,,0.06,
157_100,237,0.00,0.90,,0.00,0.02,0.01,0.04,,,0.01,,0.00,0.01,,,0.00
157_101,237,0.00,0.80,,,0.01,0.00,0.01,,,0.00,,0.00,0.17,,,
157_102,237,0.00,0.63,,0.00,0.01,0.00,0.02,,,0.01,,,0.33,,,
157_103,237,,0.66,,,0.00,0.00,0.02,,,0.01,,,0.32,,,
157_104,237,0.00,0.74,,,0.00,0.00,0.03,,,0.01,,,0.22,,,
157_105,235,,1.00,,,,,,,,,,,,,,
157_105,237,0.00,0.72,,,0.01,0.00,0.04,,,0.03,,0.00,0.19,,,
157_106,235,,0.96,,,,,0.02,,,,,,0.03,,,
157_106,237,0.00,0.66,,,0.00,0.00,0.03,,,0.02,,0.00,0.28,,,
157_107,235,,0.79,,,0.00,0.00,0.02,,,0.01,,,0.18,,,
157_107,237,,0.39,,,,,0.03,,,0.00,,,0.58,,,
157_108,235,0.00,0.77,,,,,0.01,,,,,,0.22,,,
157_109,235,0.00,0.81,,0.00,0.01,0.00,0.04,,,0.00,,0.00,0.12,,0.00,0.00
157_109,236,,0.87,,,,,0.03,,,,,0.02,0.07,,0.00,0.01
157_109,238,,0.56,,,,,,,,0.16,,,,,,0.28
157_110,236,0.00,0.88,,0.00,0.00,0.00,0.05,,,0.01,,0.00,0.05,,0.00,0.01
157_110,238,,0.67,,,,,0.06,,,0.27,,,,,,
157_111,236,0.00,0.84,,,,,0.03,,,0.10,,0.02,,,0.00,0.01
157_111,238,,0.77,,,,,,,,0.23,,,,,,
157_111,239,0.00,0.87,,,0.00,0.00,0.03,,,0.01,,0.00,0.09,,,
157_112,239,0.00,0.85,,,0.02,0.01,0.06,,,0.01,,,0.05,,,
15_71,132,,,,,,,,,0.97,0.00,,,,,0.03,
157_113,239,0.00,0.94,,,0.01,0.00,0.02,,,0.00,,0.00,0.02,,,
157_114,239,0.01,0.87,,,0.01,,0.04,,,0.01,,0.00,0.08,,,0.00
157_115,239,0.01,0.77,,,0.00,,0.02,,,0.10,,0.00,0.10,,,
157_116,239,0.01,0.69,,,0.01,0.00,0.04,,,0.15,,0.00,0.10,,,
157_117,239,0.01,0.66,,,0.00,0.00,0.03,,,0.13,,0.00,0.17,,,
157_117,242,0.01,0.87,,,0.01,,0.03,,,0.04,,,0.05,,,
157_118,239,0.04,0.51,,,,0.00,0.14,,,0.31,,,,,,
157_118,242,0.00,0.84,0.00,,0.01,0.00,0.03,,,0.05,,0.00,0.06,,0.00,0.00
157_119,223,,,,,,,,,,1.00,,,,,,
157_119,242,0.01,0.57,,0.00,0.01,0.00,0.06,,,0.35,,,,,0.00,
157_120,223,,,0.00,,,,0.01,,0.00,0.91,,,,,0.08,
157_120,242,,0.26,0.00,,0.02,0.00,0.11,,0.00,0.52,,,0.04,,0.04,
157_121,223,,0.00,0.00,,,,0.00,,0.00,0.83,,,0.00,,0.15,
157_121,242,,0.10,,,0.00,,0.01,,,0.65,,,,,0.23,
157_122,223,,,0.01,,,,0.02,,0.04,0.76,,,,,0.18,
157_122,242,,,,,,,0.01,,,0.58,,,,,0.41,
157_123,223,,,0.04,,,,,,0.18,0.47,,,,,0.32,
157_123,224,,,0.01,,,,,,0.14,0.75,,,,,0.09,
157_124,224,,,0.05,,,,,,0.44,0.36,,,,,0.15,
157_125,224,,,0.03,,0.00,,0.01,,0.31,0.44,,0.00,,,0.20,0.00
157_126,224,,,0.07,,0.01,0.00,0.03,,0.27,0.33,,0.01,,,0.29,
157_127,224,,,0.10,,0.00,,0.00,,0.26,0.07,0.00,0.00,,,0.58,
157_128,224,,,0.02,,,,,,0.31,0.02,0.02,,,,0.63,
157_129,224,0.00,,0.03,,,,,,0.79,0.01,0.01,,,,0.16,
157_130,224,0.01,,0.06,,,,,,0.79,0.00,0.02,,,,0.12,
157_131,224,0.05,,,,,,,,0.87,,,,,,0.08,
157_132,224,0.35,,,,,,,,0.35,0.00,,,,,0.29,
157_133,224,0.79,,,,,,,,0.01,0.01,,0.04,,,0.14,
157_133,229,0.83,,,,,,,0.00,0.03,0.02,,0.01,,,0.11,
157_134,229,0.32,,,,,,,,0.46,0.02,,0.00,,,0.19,
157_135,229,0.03,,,,,,,0.01,0.59,0.05,,0.01,,,0.32,
157_136,229,0.02,,,,,,,,0.40,0.05,,,,,0.53,
157_137,229,0.25,,,,,,,,0.47,0.04,,0.01,,,0.24,
157_138,229,0.48,,,,,,,0.00,0.22,0.02,,0.02,,,0.27,
157_139,229,0.17,,,,,,,0.00,0.45,0.03,,0.00,,,0.34,
157_140,229,0.25,,,,,,,,0.39,0.02,,0.00,,,0.34,
157_140,278,0.68,,,,,,,,0.09,0.13,,,,,0.10,
157_141,229,0.46,,,,,,,,0.35,,,,,,0.20,
157_141,278,0.07,,,,,,,0.01,0.64,0.03,,0.00,,,0.26,
157_142,278,0.05,,0.00,,,,,,0.55,0.04,0.00,,,,0.35,
157_143,278,0.00,,0.01,,,,,,0.60,0.01,0.00,,,,0.38,0.01
157_144,278,0.00,,,,0.01,,0.02,,0.01,,,,,,0.95,0.00
157_145,278,0.19,,,,0.00,,0.00,,,0.01,,0.20,,,0.60,0.00
157_146,278,0.86,,,,,,,,,,,,,,0.14,
157_147,278,0.57,,,,,,,,,,,0.05,,,0.37,0.01
157_148,278,0.58,,,,,,,,,0.00,,0.13,,,0.27,0.02
157_149,278,0.05,,,,0.00,,0.01,,0.00,0.01,,,,,0.91,0.02
157_150,278,0.00,,,,,,,,,,,,,,1.00,
157_151,278,,,,,,,,,,,,,,,1.00,
157_151,298,,,,,,,,,,0.00,,,,,1.00,
157_152,298,,,,,,,,,,,,,,,1.00,
157_153,298,,,,,0.00,,0.00,,,0.00,,,,,1.00,
157_154,298,0.01,,,,0.00,,0.02,,,0.00,,,,,0.98,
157_155,298,0.00,,,,,,,,,0.00,,,,,1.00,
157_156,298,,,,,,,,,,,,,,,1.00,
157_157,298,0.07,,,,,,,,,,,,,,0.93,
157_158,298,0.09,,,,,,,,,,,,,,0.91,
157_159,285,,,,,,,,,,,,,,,1.00,
157_159,298,0.05,,,,,,,,,,,,,,0.95,
157_160,285,0.00,,,,,,,,,,,,,,1.00,
157_160,298,0.00,,,,,,,,,,,,,,1.00,
157_161,285,,,,,,,,,,,,,,,1.00,
157_161,298,,,,,,,,,,,,,,,1.00,
157_162,285,,,,,0.01,,0.01,,,,,,,,0.98,
157_163,285,,,,,0.01,,0.01,,,,,,,,0.98,
157_164,285,0.00,,,,,,,,,0.00,,,,,1.00,
157_165,285,,,,,,,,,,,,,,,1.00,
157_166,285,0.01,,,,,,,,,,,,,,0.99,
157_167,285,0.01,,,,,,,,,,,,,,0.99,
157_168,285,0.00,,,,,,,,,,,,,,1.00,
157_169,285,0.03,,,,,,,,,,,,,,0.97,
157_170,285,0.53,,,,,,,,,0.01,,,,,0.45,0.00
157_171,285,0.35,,,,0.01,,0.00,,,0.00,,,,,0.62,
157_171,287,0.01,,,,0.04,0.02,,,,,,,,,0.92,0.01
157_172,285,0.55,,,,,,,,,,,,,,0.45,
157_172,287,0.05,,,,0.02,,0.01,,,,,,,,0.93,
157_173,287,0.00,,,,,,,,,,,,,,1.00,
157_174,287,0.00,,,,,,,,,,,,,,1.00,
157_175,287,0.00,,,,,,,,,,,,,,1.00,
157_176,287,0.00,,,,,,,,,,,,,,1.00,
157_176,288,,,,,,,,,,,,,,,1.00,
157_177,287,,,,,,,,,,,,,,,1.00,
157_177,288,0.00,,,,,,,,,,,,,,1.00,
157_178,288,0.00,,,,,,,,,,,,,,1.00,
157_179,288,0.02,,,,,,,,,0.00,,,,,0.98,0.00
157_180,288,0.27,,,,,,,,,0.00,,,,,0.71,0.02
157_180,no data,0.29,,,,,,,,,,,,,,0.71,
157_181,288,0.01,,,,0.06,,0.00,,,,,,,,0.93,
157_181,no data,0.10,,,0.00,0.03,0.00,0.01,,,,,0.00,,,0.85,0.00
15_72,001,,,,,,,,,1.00,,,,,,,
15_72,132,,,,,,,,0.00,0.67,0.08,,,,,0.25,
15_73,132,0.00,,,,,,,0.00,0.39,0.06,,,,,0.55,
15_74,001,,,,,,,,,0.03,0.19,,,,,0.78,
15_74,132,,,,,,,,,0.13,0.17,,,,,0.70,
15_75,001,,,,,,,0.00,,0.00,0.42,,,,,0.58,
157_57,057,0.01,,,,0.04,,0.20,0.03,0.00,0.05,0.17,0.01,,,0.48,
157_57,no data,0.00,,,,,,0.00,0.06,,,,0.94,,,0.00,
157_58,057,0.00,,,,0.00,,0.01,0.00,0.31,0.12,0.17,0.00,,,0.40,
157_58,no data,,,,,,,,0.69,,,,0.31,,,,
157_59,056,,,,,,,0.01,,0.84,0.03,0.02,,,,0.10,
157_59,057,,,,,,,0.00,,0.80,0.05,0.03,,,,0.11,0.00
15_76,001,0.00,,,,,,0.03,,0.27,0.17,,,,,0.53,
157_60,056,,,0.00,,,,0.04,0.00,0.47,0.20,0.03,0.00,,,0.25,0.00
157_60,057,,,,,,,0.02,,0.67,0.03,0.02,,,,0.26,
157_61,056,,,,,,,0.02,,0.40,0.18,0.04,,,,0.36,
157_62,056,,0.01,0.00,,0.00,,0.13,,0.48,0.06,0.05,,,,0.27,0.00
157_63,056,0.00,0.00,0.00,,,,0.05,,0.26,0.41,0.06,,,,0.21,0.00
157_64,056,0.00,0.00,,,,,0.02,,0.09,0.65,0.05,0.00,,,0.19,0.00
157_65,056,0.00,,,,,,0.00,,0.28,0.28,0.04,,,,0.41,
157_66,053,,,,,,,0.00,,0.40,0.03,0.13,,,,0.44,
157_66,056,,,,,,,0.01,,0.19,0.19,0.05,,,,0.56,
157_67,048,,0.59,,,0.00,,0.04,,0.09,0.01,0.02,,,,0.25,
157_67,050,,0.40,,,,,0.02,,0.13,0.03,0.13,,0.04,,0.25,
157_67,053,,,,,,,0.00,,0.32,0.00,0.17,,,,0.50,
157_67,056,,,,,,,,,0.10,0.07,0.22,,,,0.60,
157_68,050,0.00,0.66,,,0.01,,0.03,0.00,0.01,0.02,0.03,,0.01,,0.08,0.14
157_69,050,0.00,0.72,,0.00,0.03,0.00,0.07,0.01,,0.01,0.00,,0.01,,0.01,0.15
15_77,001,0.00,,,,,,,0.00,0.57,0.21,,0.01,,,0.21,0.01
157_70,050,0.03,0.72,,0.00,0.06,0.03,0.12,,,0.00,,,0.03,,0.00,
157_71,050,0.03,0.52,,,0.02,0.02,0.13,,,0.25,,,0.02,,0.00,
157_71,054,0.11,0.02,,,0.00,,0.05,,0.00,0.45,0.00,,,,0.36,
157_72,054,0.04,,,,,,0.04,,0.01,0.26,0.02,,,,0.63,
157_73,054,0.00,,0.00,,,,0.06,,0.01,0.41,0.02,,,,0.50,
157_74,054,0.01,,,,0.00,,0.01,,0.03,0.14,0.03,,,,0.79,0.00
157_75,054,0.01,,0.00,,,,0.02,,0.03,0.38,0.05,,,,0.50,0.01
157_76,054,0.00,,,,,,0.03,,0.00,0.73,0.04,,,,0.19,
157_76,064,0.07,,,,,,0.02,0.02,0.01,0.69,0.05,,,,0.15,
157_77,054,0.00,,,,,,0.02,,,0.46,0.06,,0.00,,0.46,
157_77,064,0.00,,,,,,0.03,0.03,,0.49,0.06,,,,0.39,0.00
157_78,054,,,,,,,0.01,,,0.26,0.05,,,,0.67,
157_78,064,,,,,,,0.02,0.01,,0.35,0.13,,,,0.49,0.00
157_79,064,,,,,,,0.01,,,0.27,0.06,,,,0.66,0.00
15_78,001,,,,,,,,0.00,0.74,0.07,,,,,0.20,
157_80,064,,,0.00,,,,0.01,,0.01,0.11,0.23,,,,0.64,
157_80,248,,,,,,,,,0.02,0.06,0.43,,,,0.49,
157_81,064,,,,,,,0.00,,0.00,0.14,0.11,,,,0.74,
157_81,248,,,,,,,,,0.03,0.04,0.45,,,,0.48,
157_82,064,,,,,,,,,,0.27,0.06,,,,0.67,
157_82,248,,,,,,,0.00,,0.00,0.25,0.31,,,,0.43,
157_83,248,0.01,,,,,,0.03,0.00,,0.66,0.06,,,,0.23,
157_84,248,0.00,,,,,,0.03,,,0.92,0.00,0.00,,,0.04,
157_85,248,0.04,,,,,,0.03,,,0.84,0.00,,,,0.08,0.01
157_86,248,0.11,,,,,,0.02,,,0.49,,,,,0.38,
157_86,249,0.09,,,,,,0.02,,,0.43,,,,,0.46,
157_87,249,0.10,,,,,,0.02,,,0.35,,,,,0.53,
157_88,249,0.18,,,,,,0.03,,,0.45,,,,,0.35,
157_89,249,0.27,,,,,,0.00,,,0.47,,,,,0.26,
15_79,001,,,,,,,,0.01,0.56,0.13,,,,,0.31,
157_90,244,0.09,,,,0.01,0.00,0.02,,,0.80,,,,,0.08,
157_90,249,0.27,,,,,,,,,0.51,,,,,0.22,
157_91,244,0.07,0.31,,,0.03,,0.07,,0.00,0.51,,,0.01,,0.01,
15_79,132,0.00,,,,,,,0.02,0.67,0.07,,,,,0.24,
157_92,244,0.00,0.94,,,0.03,0.00,0.03,,,,,,,,,
157_93,244,0.01,0.94,,0.00,0.01,,0.02,,,,,0.01,0.01,,,
157_94,244,0.00,0.96,,,0.01,0.00,0.02,,,,,0.01,,,,
157_95,244,,0.96,,,0.02,0.00,0.02,,,,,,,,,
157_96,244,,0.96,,,0.02,0.00,0.02,,,,,,,,,
